Split Mata Kuliah,NAMA,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Bisnis dan Ekonomi,Teknologi,Seni,Sastra dan Linguistik,Pendidikan,Hukum,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum,highest
Komunikasi Organisasi,ILMU KOMUNIKASI,0.1,0.1,0.1,0.4,0.1,0.1,0.4,0.3,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.9,0.1,0.3,16
Psikologi Klinis,PSIKOLOGI,0.3,0.4,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.8,0.1,0.3,0.3,0.2,14
Psikologi Industri,PSIKOLOGI,0.3,0.4,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.8,0.1,0.3,0.3,0.2,14
Psikologi Pendidikan,PSIKOLOGI,0.3,0.4,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.8,0.1,0.3,0.3,0.2,14
Psikologi Sosial,PSIKOLOGI,0.3,0.4,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.8,0.1,0.3,0.3,0.2,14
Psikologi Eksperimen,PSIKOLOGI,0.3,0.4,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.8,0.1,0.3,0.3,0.2,14
Hukum Acara Perdata,ILMU HUKUM,0.1,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.9,0.1,0.1,0.1,0.4,0.1,0.9,12
Hukum Acara Pidana,ILMU HUKUM,0.1,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.9,0.1,0.1,0.1,0.4,0.1,0.9,12
Hukum Keluarga,ILMU HUKUM,0.1,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.9,0.1,0.1,0.1,0.4,0.1,0.9,12
Hukum Perdata,ILMU HUKUM,0.1,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.9,0.1,0.1,0.1,0.4,0.1,0.9,12
Hukum Pidana,ILMU HUKUM,0.1,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.9,0.1,0.1,0.1,0.4,0.1,0.9,12
Farmasi Dasar,FARMASI,0.4,0.7,0.3,0.2,0.5,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.8,0.1,0.1,0.1,0.1,14
Kimia Farmasi,FARMASI,0.4,0.7,0.3,0.2,0.5,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.8,0.1,0.1,0.1,0.1,14
Biologi Farmasi,FARMASI,0.4,0.7,0.3,0.2,0.5,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.8,0.1,0.1,0.1,0.1,14
Analisis Obat,FARMASI,0.4,0.7,0.3,0.2,0.5,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.8,0.1,0.1,0.1,0.1,14
Farmakologi,FARMASI,0.4,0.7,0.3,0.2,0.5,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.8,0.1,0.1,0.1,0.1,14
Pemrograman Dasar,TEKNIK INFORMATIKA,0.8,0.3,0.2,0.1,0.1,0.1,0.3,0.9,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8
Struktur Data,TEKNIK INFORMATIKA,0.8,0.3,0.2,0.1,0.1,0.1,0.3,0.9,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8
Algoritma dan Pemrograman,TEKNIK INFORMATIKA,0.8,0.3,0.2,0.1,0.1,0.1,0.3,0.9,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8
Sistem Operasi,TEKNIK INFORMATIKA,0.8,0.3,0.2,0.1,0.1,0.1,0.3,0.9,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8
Jaringan Komputer,TEKNIK INFORMATIKA,0.8,0.3,0.2,0.1,0.1,0.1,0.3,0.9,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8
Anatomi,KEDOKTERAN,0.2,0.7,0.1,0.1,0.5,0.4,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.9,0.1,0.2,0.1,0.2,14
Fisiologi,KEDOKTERAN,0.2,0.7,0.1,0.1,0.5,0.4,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.9,0.1,0.2,0.1,0.2,14
Patologi,KEDOKTERAN,0.2,0.7,0.1,0.1,0.5,0.4,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.9,0.1,0.2,0.1,0.2,14
Bedah,KEDOKTERAN,0.2,0.7,0.1,0.1,0.5,0.4,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.9,0.1,0.2,0.1,0.2,14
Matematika Teknik,TEKNIK SIPIL,0.5,0.4,0.8,0.1,0.1,0.1,0.3,0.4,0.3,0.0,0.1,0.3,0.3,0.1,0.4,0.2,0.1,0.3,3
Mekanika Tanah,TEKNIK SIPIL,0.5,0.4,0.8,0.1,0.1,0.1,0.3,0.4,0.3,0.0,0.1,0.3,0.3,0.1,0.4,0.2,0.1,0.3,3
Beton Bertulang,TEKNIK SIPIL,0.5,0.4,0.8,0.1,0.1,0.1,0.3,0.4,0.3,0.0,0.1,0.3,0.3,0.1,0.4,0.2,0.1,0.3,3
Struktur Baja,TEKNIK SIPIL,0.5,0.4,0.8,0.1,0.1,0.1,0.3,0.4,0.3,0.0,0.1,0.3,0.3,0.1,0.4,0.2,0.1,0.3,3
Hidrologi,TEKNIK SIPIL,0.5,0.4,0.8,0.1,0.1,0.1,0.3,0.4,0.3,0.0,0.1,0.3,0.3,0.1,0.4,0.2,0.1,0.3,3
Bahasa Pemrograman,SISTEM INFORMASI,0.5,0.3,0.2,0.1,0.1,0.1,0.5,0.9,0.2,0.1,0.2,0.3,0.1,0.1,0.1,0.3,0.1,0.3,8
Basis Data,SISTEM INFORMASI,0.5,0.3,0.2,0.1,0.1,0.1,0.5,0.9,0.2,0.1,0.2,0.3,0.1,0.1,0.1,0.3,0.1,0.3,8
Rekayasa Perangkat Lunak,SISTEM INFORMASI,0.5,0.3,0.2,0.1,0.1,0.1,0.5,0.9,0.2,0.1,0.2,0.3,0.1,0.1,0.1,0.3,0.1,0.3,8
Teknologi Industri,TEKNIK INDUSTRI,0.7,0.2,0.2,0.1,0.1,0.1,0.5,0.2,0.2,0.1,0.4,0.2,0.3,0.2,0.2,0.2,0.2,0.2,1
Manajemen Produksi,TEKNIK INDUSTRI,0.7,0.2,0.2,0.1,0.1,0.1,0.5,0.2,0.2,0.1,0.4,0.2,0.3,0.2,0.2,0.2,0.2,0.2,1
Kualitas Produk,TEKNIK INDUSTRI,0.7,0.2,0.2,0.1,0.1,0.1,0.5,0.2,0.2,0.1,0.4,0.2,0.3,0.2,0.2,0.2,0.2,0.2,1
Teknik Pengendalian Proses,TEKNIK INDUSTRI,0.7,0.2,0.2,0.1,0.1,0.1,0.5,0.2,0.2,0.1,0.4,0.2,0.3,0.2,0.2,0.2,0.2,0.2,1
Ergonomi,TEKNIK INDUSTRI,0.7,0.2,0.2,0.1,0.1,0.1,0.5,0.2,0.2,0.1,0.4,0.2,0.3,0.2,0.2,0.2,0.2,0.2,1
Hukum Administrasi Negara,HUKUM,0.1,0.1,0.1,0.4,0.0,0.0,0.6,0.1,0.1,0.1,0.1,0.9,0.2,0.1,0.2,0.2,0.2,0.9,12
Hukum Tata Negara,HUKUM,0.1,0.1,0.1,0.4,0.0,0.0,0.6,0.1,0.1,0.1,0.1,0.9,0.2,0.1,0.2,0.2,0.2,0.9,12
Hukum Agraria,HUKUM,0.1,0.1,0.1,0.4,0.0,0.0,0.6,0.1,0.1,0.1,0.1,0.9,0.2,0.1,0.2,0.2,0.2,0.9,12
Teknik Fluida,TEKNIK MESIN,0.5,0.4,0.9,0.1,0.1,0.1,0.3,0.1,0.3,0.0,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.2,3
Material Teknik,TEKNIK MESIN,0.5,0.4,0.9,0.1,0.1,0.1,0.3,0.1,0.3,0.0,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.2,3
Pembentukan Logam,TEKNIK MESIN,0.5,0.4,0.9,0.1,0.1,0.1,0.3,0.1,0.3,0.0,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.2,3
Teknik Pemeliharaan,TEKNIK MESIN,0.5,0.4,0.9,0.1,0.1,0.1,0.3,0.1,0.3,0.0,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.2,3
Teknik Las,TEKNIK MESIN,0.5,0.4,0.9,0.1,0.1,0.1,0.3,0.1,0.3,0.0,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.2,3
Gizi dan Kesehatan,GIZI,0.3,0.3,0.1,0.1,0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.8,0.1,0.2,0.1,0.1,14
Mikrobiologi Pangan,GIZI,0.3,0.3,0.1,0.1,0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.8,0.1,0.2,0.1,0.1,14
Metabolisme,GIZI,0.3,0.3,0.1,0.1,0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.8,0.1,0.2,0.1,0.1,14
Kimia Makanan,GIZI,0.3,0.3,0.1,0.1,0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.8,0.1,0.2,0.1,0.1,14
Ilmu Nutrisi,GIZI,0.3,0.3,0.1,0.1,0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.8,0.1,0.2,0.1,0.1,14
Anatomi dan Fisiologi,KEPERAWATAN,0.2,0.3,0.2,0.3,0.4,0.1,0.1,0.1,0.2,0.0,0.3,0.1,0.2,0.8,0.1,0.1,0.1,0.1,14
Keperawatan Medikal Bedah,KEPERAWATAN,0.2,0.3,0.2,0.3,0.4,0.1,0.1,0.1,0.2,0.0,0.3,0.1,0.2,0.8,0.1,0.1,0.1,0.1,14
Keperawatan Anak,KEPERAWATAN,0.2,0.3,0.2,0.3,0.4,0.1,0.1,0.1,0.2,0.0,0.3,0.1,0.2,0.8,0.1,0.1,0.1,0.1,14
Keperawatan Jiwa,KEPERAWATAN,0.2,0.3,0.2,0.3,0.4,0.1,0.1,0.1,0.2,0.0,0.3,0.1,0.2,0.8,0.1,0.1,0.1,0.1,14
Keperawatan Maternitas,KEPERAWATAN,0.2,0.3,0.2,0.3,0.4,0.1,0.1,0.1,0.2,0.0,0.3,0.1,0.2,0.8,0.1,0.1,0.1,0.1,14
Agribisnis Perdesaan,AGRIBISNIS,0.3,0.5,0.2,0.2,0.3,0.0,0.8,0.3,0.1,0.0,0.2,0.1,0.4,0.1,0.2,0.2,0.1,0.1,7
Pemasaran Agribisnis,AGRIBISNIS,0.3,0.5,0.2,0.2,0.3,0.0,0.8,0.3,0.1,0.0,0.2,0.1,0.4,0.1,0.2,0.2,0.1,0.1,7
Manajemen Agribisnis,AGRIBISNIS,0.3,0.5,0.2,0.2,0.3,0.0,0.8,0.3,0.1,0.0,0.2,0.1,0.4,0.1,0.2,0.2,0.1,0.1,7
Keuangan Agribisnis,AGRIBISNIS,0.3,0.5,0.2,0.2,0.3,0.0,0.8,0.3,0.1,0.0,0.2,0.1,0.4,0.1,0.2,0.2,0.1,0.1,7
Kewirausahaan Agribisnis,AGRIBISNIS,0.3,0.5,0.2,0.2,0.3,0.0,0.8,0.3,0.1,0.0,0.2,0.1,0.4,0.1,0.2,0.2,0.1,0.1,7
Elektronika Dasar,TEKNIK ELEKTRO,0.7,0.3,0.7,0.1,0.1,0.1,0.2,0.5,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.3,0.1,0.2,1
Sistem Kendali,TEKNIK ELEKTRO,0.7,0.3,0.7,0.1,0.1,0.1,0.2,0.5,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.3,0.1,0.2,1
Instrumentasi,TEKNIK ELEKTRO,0.7,0.3,0.7,0.1,0.1,0.1,0.2,0.5,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.3,0.1,0.2,1
Komunikasi Data dan Jaringan Komputer,TEKNIK ELEKTRO,0.7,0.3,0.7,0.1,0.1,0.1,0.2,0.5,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.3,0.1,0.2,1
Robotika,TEKNIK ELEKTRO,0.7,0.3,0.7,0.1,0.1,0.1,0.2,0.5,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.3,0.1,0.2,1
Pendidikan Bahasa Indonesia,PENDIDIKAN GURU SEKOLAH DASAR,0.2,0.2,0.1,0.4,0.1,0.1,0.1,0.2,0.4,0.3,0.9,0.1,0.2,0.1,0.2,0.4,0.4,0.1,11
Pendidikan Matematika,PENDIDIKAN GURU SEKOLAH DASAR,0.2,0.2,0.1,0.4,0.1,0.1,0.1,0.2,0.4,0.3,0.9,0.1,0.2,0.1,0.2,0.4,0.4,0.1,11
Pendidikan IPA,PENDIDIKAN GURU SEKOLAH DASAR,0.2,0.2,0.1,0.4,0.1,0.1,0.1,0.2,0.4,0.3,0.9,0.1,0.2,0.1,0.2,0.4,0.4,0.1,11
Pendidikan Agama,PENDIDIKAN GURU SEKOLAH DASAR,0.2,0.2,0.1,0.4,0.1,0.1,0.1,0.2,0.4,0.3,0.9,0.1,0.2,0.1,0.2,0.4,0.4,0.1,11
Pendidikan Kewarganegaraan,PENDIDIKAN GURU SEKOLAH DASAR,0.2,0.2,0.1,0.4,0.1,0.1,0.1,0.2,0.4,0.3,0.9,0.1,0.2,0.1,0.2,0.4,0.4,0.1,11
Kesehatan Masyarakat,KESEHATAN MASYARAKAT,0.3,0.3,0.1,0.6,0.5,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.8,0.1,0.3,0.1,0.1,14
Epidemiologi,KESEHATAN MASYARAKAT,0.3,0.3,0.1,0.6,0.5,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.8,0.1,0.3,0.1,0.1,14
Statistik Kesehatan,KESEHATAN MASYARAKAT,0.3,0.3,0.1,0.6,0.5,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.8,0.1,0.3,0.1,0.1,14
Kesehatan Lingkungan,KESEHATAN MASYARAKAT,0.3,0.3,0.1,0.6,0.5,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.8,0.1,0.3,0.1,0.1,14
Kesehatan Reproduksi,KESEHATAN MASYARAKAT,0.3,0.3,0.1,0.6,0.5,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.8,0.1,0.3,0.1,0.1,14
Teori Ekonomi Pembangunan,EKONOMI PEMBANGUNAN,0.3,0.2,0.1,0.4,0.1,0.0,0.8,0.3,0.1,0.1,0.2,0.2,0.3,0.1,0.2,0.2,0.1,0.2,7
Kebijakan Pembangunan Ekonomi,EKONOMI PEMBANGUNAN,0.3,0.2,0.1,0.4,0.1,0.0,0.8,0.3,0.1,0.1,0.2,0.2,0.3,0.1,0.2,0.2,0.1,0.2,7
Statistik Ekonomi Pembangunan,EKONOMI PEMBANGUNAN,0.3,0.2,0.1,0.4,0.1,0.0,0.8,0.3,0.1,0.1,0.2,0.2,0.3,0.1,0.2,0.2,0.1,0.2,7
Kajian Pembangunan Daerah,EKONOMI PEMBANGUNAN,0.3,0.2,0.1,0.4,0.1,0.0,0.8,0.3,0.1,0.1,0.2,0.2,0.3,0.1,0.2,0.2,0.1,0.2,7
Koperasi dan Pembangunan,EKONOMI PEMBANGUNAN,0.3,0.2,0.1,0.4,0.1,0.0,0.8,0.3,0.1,0.1,0.2,0.2,0.3,0.1,0.2,0.2,0.1,0.2,7
Pemrograman Web,ILMU KOMPUTER,0.8,0.4,0.1,0.1,0.1,0.1,0.2,0.9,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,8
Prinsip-prinsip Teknik Pertambangan,TEKNIK PERTAMBANGAN,0.6,0.3,0.8,0.2,0.1,0.3,0.2,0.3,0.2,0.0,0.1,0.2,0.2,0.1,0.7,0.1,0.1,0.2,3
Geologi dan Geoteknik,TEKNIK PERTAMBANGAN,0.6,0.3,0.8,0.2,0.1,0.3,0.2,0.3,0.2,0.0,0.1,0.2,0.2,0.1,0.7,0.1,0.1,0.2,3
Rekayasa Tambang,TEKNIK PERTAMBANGAN,0.6,0.3,0.8,0.2,0.1,0.3,0.2,0.3,0.2,0.0,0.1,0.2,0.2,0.1,0.7,0.1,0.1,0.2,3
Hidrogeologi,TEKNIK PERTAMBANGAN,0.6,0.3,0.8,0.2,0.1,0.3,0.2,0.3,0.2,0.0,0.1,0.2,0.2,0.1,0.7,0.1,0.1,0.2,3
Sistem Penambangan,TEKNIK PERTAMBANGAN,0.6,0.3,0.8,0.2,0.1,0.3,0.2,0.3,0.2,0.0,0.1,0.2,0.2,0.1,0.7,0.1,0.1,0.2,3
Manajemen Keuangan Publik,ADMINISTRASI PUBLIK,0.2,0.2,0.1,0.7,0.1,0.0,0.3,0.5,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,4
Kebijakan Publik,ADMINISTRASI PUBLIK,0.2,0.2,0.1,0.7,0.1,0.0,0.3,0.5,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,4
Etika Administrasi Publik,ADMINISTRASI PUBLIK,0.2,0.2,0.1,0.7,0.1,0.0,0.3,0.5,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,4
Pemberdayaan Masyarakat,ADMINISTRASI PUBLIK,0.2,0.2,0.1,0.7,0.1,0.0,0.3,0.5,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,4
Grammar,SASTRA INGGRIS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.9,0.4,0.1,0.1,0.2,0.2,0.4,0.3,0.1,10
Vocabulary,SASTRA INGGRIS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.9,0.4,0.1,0.1,0.2,0.2,0.4,0.3,0.1,10
Reading Comprehension,SASTRA INGGRIS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.9,0.4,0.1,0.1,0.2,0.2,0.4,0.3,0.1,10
Writing Skills,SASTRA INGGRIS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.9,0.4,0.1,0.1,0.2,0.2,0.4,0.3,0.1,10
Listening Skills,SASTRA INGGRIS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.9,0.4,0.1,0.1,0.2,0.2,0.4,0.3,0.1,10
E-Commerce,BISNIS DIGITAL,0.2,0.3,0.1,0.3,0.1,0.1,0.7,0.9,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.5,0.1,0.1,8
Digital Marketing,BISNIS DIGITAL,0.2,0.3,0.1,0.3,0.1,0.1,0.7,0.9,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.5,0.1,0.1,8
Business Intelligence,BISNIS DIGITAL,0.2,0.3,0.1,0.3,0.1,0.1,0.7,0.9,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.5,0.1,0.1,8
Mobile App Development,BISNIS DIGITAL,0.2,0.3,0.1,0.3,0.1,0.1,0.7,0.9,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.5,0.1,0.1,8
Social Media Management,BISNIS DIGITAL,0.2,0.3,0.1,0.3,0.1,0.1,0.7,0.9,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.5,0.1,0.1,8
Manajemen Bisnis,ADMINISTRASI BISNIS,0.3,0.1,0.1,0.5,0.0,0.1,0.9,0.3,0.2,0.1,0.1,0.4,0.1,0.1,0.1,0.6,0.1,0.4,7
Administrasi Perkantoran,ADMINISTRASI BISNIS,0.3,0.1,0.1,0.5,0.0,0.1,0.9,0.3,0.2,0.1,0.1,0.4,0.1,0.1,0.1,0.6,0.1,0.4,7
Keuangan Bisnis,ADMINISTRASI BISNIS,0.3,0.1,0.1,0.5,0.0,0.1,0.9,0.3,0.2,0.1,0.1,0.4,0.1,0.1,0.1,0.6,0.1,0.4,7
Pemasaran Bisnis,ADMINISTRASI BISNIS,0.3,0.1,0.1,0.5,0.0,0.1,0.9,0.3,0.2,0.1,0.1,0.4,0.1,0.1,0.1,0.6,0.1,0.4,7
English Literature,PENDIDIKAN BAHASA INGGRIS,0.0,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.2,0.5,0.6,0.2,0.0,0.1,0.0,0.4,0.1,0.2,11
English Linguistics,PENDIDIKAN BAHASA INGGRIS,0.0,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.2,0.5,0.6,0.2,0.0,0.1,0.0,0.4,0.1,0.2,11
English Phonetics,PENDIDIKAN BAHASA INGGRIS,0.0,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.2,0.5,0.6,0.2,0.0,0.1,0.0,0.4,0.1,0.2,11
English Syntax,PENDIDIKAN BAHASA INGGRIS,0.0,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.2,0.5,0.6,0.2,0.0,0.1,0.0,0.4,0.1,0.2,11
English Morphology,PENDIDIKAN BAHASA INGGRIS,0.0,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.2,0.5,0.6,0.2,0.0,0.1,0.0,0.4,0.1,0.2,11
Sejarah Arsitektur,ARSITEKTUR,0.4,0.3,0.8,0.1,0.1,0.1,0.3,0.4,0.8,0.1,0.2,0.1,0.3,0.1,0.3,0.4,0.1,0.1,3
Desain Arsitektur,ARSITEKTUR,0.4,0.3,0.8,0.1,0.1,0.1,0.3,0.4,0.8,0.1,0.2,0.1,0.3,0.1,0.3,0.4,0.1,0.1,3
Struktur Bangunan,ARSITEKTUR,0.4,0.3,0.8,0.1,0.1,0.1,0.3,0.4,0.8,0.1,0.2,0.1,0.3,0.1,0.3,0.4,0.1,0.1,3
Teknologi Konstruksi,ARSITEKTUR,0.4,0.3,0.8,0.1,0.1,0.1,0.3,0.4,0.8,0.1,0.2,0.1,0.3,0.1,0.3,0.4,0.1,0.1,3
Tata Kota,ARSITEKTUR,0.4,0.3,0.8,0.1,0.1,0.1,0.3,0.4,0.8,0.1,0.2,0.1,0.3,0.1,0.3,0.4,0.1,0.1,3
Teori Hubungan Internasional,HUBUNGAN INTERNASIONAL,0.1,0.1,0.1,0.5,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.8,0.2,0.1,0.2,0.7,0.1,0.8,12
Diplomasi,HUBUNGAN INTERNASIONAL,0.1,0.1,0.1,0.5,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.8,0.2,0.1,0.2,0.7,0.1,0.8,12
Organisasi Internasional,HUBUNGAN INTERNASIONAL,0.1,0.1,0.1,0.5,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.8,0.2,0.1,0.2,0.7,0.1,0.8,12
Negosiasi Internasional,HUBUNGAN INTERNASIONAL,0.1,0.1,0.1,0.5,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.8,0.2,0.1,0.2,0.7,0.1,0.8,12
Ekonomi Politik Internasional,HUBUNGAN INTERNASIONAL,0.1,0.1,0.1,0.5,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.8,0.2,0.1,0.2,0.7,0.1,0.8,12
Anatomi dan Fisiologi Gigi,PENDIDIKAN DOKTER GIGI,0.1,0.3,0.2,0.1,0.7,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.2,0.8,0.1,0.2,0.1,0.1,14
Biokimia Gigi,PENDIDIKAN DOKTER GIGI,0.1,0.3,0.2,0.1,0.7,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.2,0.8,0.1,0.2,0.1,0.1,14
Histologi Gigi,PENDIDIKAN DOKTER GIGI,0.1,0.3,0.2,0.1,0.7,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.2,0.8,0.1,0.2,0.1,0.1,14
Patologi Oral,PENDIDIKAN DOKTER GIGI,0.1,0.3,0.2,0.1,0.7,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.2,0.8,0.1,0.2,0.1,0.1,14
Kedokteran Gigi Masyarakat,PENDIDIKAN DOKTER GIGI,0.1,0.3,0.2,0.1,0.7,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.2,0.8,0.1,0.2,0.1,0.1,14
Teori Sosiologi,SOSIOLOGI,0.1,0.1,0.1,0.9,0.1,0.1,0.3,0.1,0.1,0.1,0.4,0.3,0.3,0.1,0.2,0.4,0.6,0.3,4
