KODE,NAMA,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO,PERGURUAN TINGGI
111071,TEKNIK SIPIL,Diploma Tiga,28,38,Tidak Ada,UNIVERSITAS SYIAH KUALA
111072,SEKRETARI,Diploma Tiga,14,6,Tidak Ada,UNIVERSITAS SYIAH KUALA
111073,MANAJEMEN PERUSAHAAN,Diploma Tiga,14,20,Tidak Ada,UNIVERSITAS SYIAH KUALA
111075,AKUNTANSI,Diploma Tiga,28,22,Tidak Ada,UNIVERSITAS SYIAH KUALA
111076,KEUANGAN DAN PERBANKAN,Diploma Tiga,28,39,Tidak Ada,UNIVERSITAS SYIAH KUALA
111077,MANAJEMEN INFORMATIKA,Diploma Tiga,28,42,Tidak Ada,UNIVERSITAS SYIAH KUALA
112001,TEKNIK SIPIL,Sarjana,120,250,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112002,TEKNIK MESIN,Sarjana,120,157,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112003,TEKNIK KIMIA,Sarjana,120,119,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112004,TEKNIK ELEKTRO,Sarjana,80,109,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112005,TEKNIK INDUSTRI,Sarjana,100,272,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112006,TEKNIK INFORMATIKA,Sarjana,100,537,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112007,ARSITEKTUR,Sarjana,80,100,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112008,AGROEKOTEKNOLOGI,Sarjana,108,203,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112009,AGRIBISNIS,Sarjana,60,163,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112010,AKUAKULTUR,Sarjana,36,34,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112011,KEDOKTERAN,Sarjana,60,1317,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112012,PENDIDIKAN FISIKA,Sarjana,48,38,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112013,PENDIDIKAN KIMIA,Sarjana,48,27,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112014,PENDIDIKAN MATEMATIKA,Sarjana,48,61,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112015,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Sarjana,24,23,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112016,SISTEM INFORMASI,Sarjana,80,219,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112017,ILMU KELAUTAN,Sarjana,36,53,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112018,TEKNIK MATERIAL,Sarjana,48,29,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112019,TEKNIK LOGISTIK,Sarjana,40,46,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112020,MANAJEMEN,Sarjana,132,490,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112021,AKUNTANSI,Sarjana,112,277,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112022,ILMU EKONOMI DAN STUDI PEMBANGUNAN,Sarjana,112,118,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112023,ADMINISTRASI PUBLIK,Sarjana,128,248,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112024,SOSIOLOGI,Sarjana,64,76,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112025,ILMU POLITIK,Sarjana,80,73,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112026,ANTROPOLOGI,Sarjana,64,51,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112027,ILMU KOMUNIKASI,Sarjana,128,321,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112028,ILMU HUKUM,Sarjana,180,405,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112029,EKONOMI SYARIAH,Sarjana,64,151,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112030,PSIKOLOGI,Sarjana,60,422,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112031,PENDIDIKAN BAHASA INDONESIA,Sarjana,40,174,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112032,ADMINISTRASI BISNIS,Sarjana,48,146,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112033,KEWIRAUSAHAAN,Sarjana,40,59,Tidak Ada,UNIVERSITAS MALIKUSSALEH
112034,KEPERAWATAN,Diploma Tiga,16,89,Tidak Ada,UNIVERSITAS MALIKUSSALEH
113001,TEKNIK SIPIL,Sarjana,75,108,Tidak Ada,UNIVERSITAS TEUKU UMAR
113002,TEKNIK MESIN,Sarjana,80,91,Tidak Ada,UNIVERSITAS TEUKU UMAR
113003,TEKNIK INDUSTRI,Sarjana,60,121,Tidak Ada,UNIVERSITAS TEUKU UMAR
113004,AGRIBISNIS,Sarjana,60,90,Tidak Ada,UNIVERSITAS TEUKU UMAR
113005,AGROTEKNOLOGI,Sarjana,50,76,Tidak Ada,UNIVERSITAS TEUKU UMAR
113006,PERIKANAN,Sarjana,30,34,Tidak Ada,UNIVERSITAS TEUKU UMAR
113007,KESEHATAN MASYARAKAT,Sarjana,90,360,Tidak Ada,UNIVERSITAS TEUKU UMAR
113008,AKUAKULTUR,Sarjana,20,16,Tidak Ada,UNIVERSITAS TEUKU UMAR
113009,SUMBER DAYA AKUATIK,Sarjana,20,5,Tidak Ada,UNIVERSITAS TEUKU UMAR
113010,TEKNOLOGI HASIL PERTANIAN,Sarjana,60,64,Tidak Ada,UNIVERSITAS TEUKU UMAR
113011,ILMU KELAUTAN,Sarjana,20,19,Tidak Ada,UNIVERSITAS TEUKU UMAR
113012,TEKNOLOGI INFORMASI,Sarjana,60,179,Tidak Ada,UNIVERSITAS TEUKU UMAR
113013,GIZI,Sarjana,90,359,Tidak Ada,UNIVERSITAS TEUKU UMAR
113014,EKONOMI PEMBANGUNAN,Sarjana,35,47,Tidak Ada,UNIVERSITAS TEUKU UMAR
113015,ADMINISTRASI NEGARA,Sarjana,100,158,Tidak Ada,UNIVERSITAS TEUKU UMAR
113016,SOSIOLOGI,Sarjana,60,94,Tidak Ada,UNIVERSITAS TEUKU UMAR
113017,ILMU KOMUNIKASI,Sarjana,100,142,Tidak Ada,UNIVERSITAS TEUKU UMAR
113018,MANAJEMEN,Sarjana,100,185,Tidak Ada,UNIVERSITAS TEUKU UMAR
113019,AKUNTANSI,Sarjana,90,128,Tidak Ada,UNIVERSITAS TEUKU UMAR
113020,ILMU HUKUM,Sarjana,90,108,Tidak Ada,UNIVERSITAS TEUKU UMAR
114001,AGROTEKNOLOGI,Sarjana,48,79,Tidak Ada,UNIVERSITAS SAMUDRA
114002,AGRIBISNIS,Sarjana,60,153,Tidak Ada,UNIVERSITAS SAMUDRA
114003,AKUAKULTUR,Sarjana,24,24,Tidak Ada,UNIVERSITAS SAMUDRA
114004,PENDIDIKAN MATEMATIKA,Sarjana,12,33,Tidak Ada,UNIVERSITAS SAMUDRA
114005,PENDIDIKAN FISIKA,Sarjana,12,9,Tidak Ada,UNIVERSITAS SAMUDRA
114006,PENDIDIKAN KIMIA,Sarjana,12,13,Tidak Ada,UNIVERSITAS SAMUDRA
114007,PENDIDIKAN BIOLOGI,Sarjana,36,38,Tidak Ada,UNIVERSITAS SAMUDRA
114008,TEKNIK MESIN,Sarjana,36,56,Tidak Ada,UNIVERSITAS SAMUDRA
114009,TEKNIK SIPIL,Sarjana,48,94,Tidak Ada,UNIVERSITAS SAMUDRA
114010,TEKNIK INDUSTRI,Sarjana,48,105,Tidak Ada,UNIVERSITAS SAMUDRA
114011,TEKNIK INFORMATIKA,Sarjana,72,319,Tidak Ada,UNIVERSITAS SAMUDRA
114012,MATEMATIKA,Sarjana,12,8,Tidak Ada,UNIVERSITAS SAMUDRA
114013,FISIKA,Sarjana,12,10,Tidak Ada,UNIVERSITAS SAMUDRA
114014,KIMIA,Sarjana,12,15,Tidak Ada,UNIVERSITAS SAMUDRA
114015,BIOLOGI,Sarjana,12,24,Tidak Ada,UNIVERSITAS SAMUDRA
114016,ILMU HUKUM,Sarjana,96,193,Tidak Ada,UNIVERSITAS SAMUDRA
114017,EKONOMI MANAJEMEN,Sarjana,96,315,Tidak Ada,UNIVERSITAS SAMUDRA
114018,EKONOMI PEMBANGUNAN,Sarjana,32,83,Tidak Ada,UNIVERSITAS SAMUDRA
114019,PENDIDIKAN SEJARAH,Sarjana,32,67,Tidak Ada,UNIVERSITAS SAMUDRA
114020,PENDIDIKAN GEOGRAFI,Sarjana,48,49,Tidak Ada,UNIVERSITAS SAMUDRA
114021,PENDIDIKAN JASMANI,Sarjana,48,60,Pendidikan Jasmani dan Olahraga,UNIVERSITAS SAMUDRA
114022,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,124,433,Tidak Ada,UNIVERSITAS SAMUDRA
114023,PENDIDIKAN BAHASA INGGRIS,Sarjana,32,63,Tidak Ada,UNIVERSITAS SAMUDRA
114024,PENDIDIKAN BAHASA INDONESIA,Sarjana,48,117,Tidak Ada,UNIVERSITAS SAMUDRA
114025,AKUNTANSI,Sarjana,48,120,Tidak Ada,UNIVERSITAS SAMUDRA
115001,SENI KARAWITAN,Sarjana,24,3,Seni Karawitan,ISBI ACEH
115002,SENI TARI,Sarjana,24,11,Tari,ISBI ACEH
115003,SENI TEATER,Sarjana,16,0,Teater,ISBI ACEH
115004,SENI RUPA MURNI,Sarjana,24,13,"Seni Rupa, Desain, dan Kriya",ISBI ACEH
115005,KRIYA,Sarjana,24,13,"Seni Rupa, Desain, dan Kriya",ISBI ACEH
115006,DESAIN KOMUNIKASI VISUAL,Sarjana,32,25,"Seni Rupa, Desain, dan Kriya",ISBI ACEH
121001,PENDIDIKAN DOKTER,Sarjana,80,2215,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121002,TEKNIK SIPIL,Sarjana,48,886,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121003,TEKNIK MESIN,Sarjana,39,682,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121004,TEKNIK ELEKTRO,Sarjana,39,555,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121005,TEKNIK INDUSTRI,Sarjana,52,1220,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121006,TEKNIK KIMIA,Sarjana,39,421,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121007,PENDIDIKAN DOKTER GIGI,Sarjana,48,1099,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121008,MATEMATIKA,Sarjana,32,301,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121009,KIMIA,Sarjana,32,182,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121010,FARMASI,Sarjana,64,1897,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121011,FISIKA,Sarjana,32,125,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121012,KESEHATAN MASYARAKAT,Sarjana,128,1702,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121013,AGROEKOTEKNOLOGI,Sarjana,96,1003,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121014,KETEKNIKAN PERTANIAN,Sarjana,32,554,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121015,BIOLOGI,Sarjana,32,249,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121016,AGRIBISNIS,Sarjana,64,1070,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121017,ILMU DAN TEKNOLOGI PANGAN,Sarjana,32,479,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121018,PETERNAKAN,Sarjana,45,414,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121019,ARSITEKTUR,Sarjana,32,530,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121020,KEPERAWATAN,Sarjana,77,1023,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121021,KEHUTANAN,Sarjana,64,997,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121022,ILMU KOMPUTER,Sarjana,48,1727,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121023,TEKNOLOGI INFORMASI,Sarjana,48,1464,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121024,MANAJEMEN SUMBERDAYA PERAIRAN,Sarjana,32,308,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121025,TEKNIK LINGKUNGAN,Sarjana,23,402,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121026,GIZI,Sarjana,13,732,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121027,ILMU HUKUM,Sarjana,192,2984,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121028,ILMU SEJARAH,Sarjana,39,215,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121029,ANTROPOLOGI SOSIAL,Sarjana,39,327,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121030,AKUNTANSI,Sarjana,80,1673,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121031,SOSIOLOGI,Sarjana,39,329,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121032,ILMU KESEJAHTERAAN SOSIAL,Sarjana,39,448,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121033,ADMINISTRASI NEGARA,Sarjana,39,799,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121034,ILMU KOMUNIKASI,Sarjana,39,1660,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121035,MANAJEMEN,Sarjana,80,2134,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121036,EKONOMI PEMBANGUNAN,Sarjana,56,842,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121037,ILMU POLITIK,Sarjana,39,467,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121038,SASTRA INDONESIA,Sarjana,40,289,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121039,SASTRA DAERAH UNTUK SASTRA MELAYU,Sarjana,24,35,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121040,SASTRA INGGRIS,Sarjana,69,789,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121041,SASTRA DAERAH UNTUK SASTRA BATAK,Sarjana,32,39,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121042,SASTRA ARAB,Sarjana,44,138,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121043,ETNO MUSIKOLOGI,Sarjana,32,75,Etnomusikologi,UNIVERSITAS SUMATERA UTARA
121044,SASTRA JEPANG,Sarjana,32,287,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121045,ILMU PERPUSTAKAAN,Sarjana,32,445,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121046,SASTRA CINA,Sarjana,16,97,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121047,ILMU ADMINISTRASI NIAGA/BISNIS,Sarjana,36,925,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121048,PSIKOLOGI,Sarjana,80,2401,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121049,KEWIRAUSAHAAN,Sarjana,16,385,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121050,METROLOGI DAN INSTRUMENTASI,Diploma Tiga,34,17,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121053,ILMU PERPUSTAKAAN,Diploma Tiga,20,39,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121054,ADMINISTRASI PERPAJAKAN,Diploma Tiga,40,387,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121056,BAHASA JEPANG,Diploma Tiga,20,41,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121058,ANALIS FARMASI DAN MAKANAN,Diploma Tiga,20,146,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121059,BAHASA INGGRIS,Diploma Tiga,40,63,Tidak Ada,UNIVERSITAS SUMATERA UTARA
121060,TEKNIK INFORMATIKA,Diploma Tiga,40,462,Tidak Ada,UNIVERSITAS SUMATERA UTARA
122001,PENDIDIKAN MATEMATIKA,Sarjana,110,546,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122002,PENDIDIKAN BIOLOGI,Sarjana,122,451,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122003,PENDIDIKAN FISIKA,Sarjana,122,191,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122004,PENDIDIKAN KIMIA,Sarjana,164,209,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122005,PENDIDIKAN TEKNIK BANGUNAN,Sarjana,79,78,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122006,PENDIDIKAN TEKNIK MESIN,Sarjana,79,151,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122007,PENDIDIKAN TEKNIK ELEKTRO,Sarjana,68,104,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122008,KIMIA,Sarjana,63,121,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122009,BIOLOGI,Sarjana,95,242,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122010,ILMU KEOLAHRAGAAN,Sarjana,139,133,Pendidikan Jasmani dan Olahraga,UNIVERSITAS NEGERI MEDAN
122011,MATEMATIKA,Sarjana,68,202,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122012,FISIKA,Sarjana,58,78,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122013,PENDIDIKAN TEKNIK OTOMOTIF,Sarjana,79,104,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122014,GIZI,Sarjana,84,907,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122015,TEKNIK ELEKTRO,Sarjana,68,353,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122016,TEKNIK SIPIL,Sarjana,79,542,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122017,PENDIDIKAN TEKNOLOGI INFORMATIKA DAN KOMPUTER,Sarjana,79,644,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122018,ILMU KOMPUTER,Sarjana,73,972,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122019,PENDIDIKAN ILMU PENDIDIKAN ALAM,Sarjana,63,192,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122021,PENDIDIKAN SEJARAH,Sarjana,100,326,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122022,PENDIDIKAN PANCASLA DAN KEWARGANEGARAAN,Sarjana,100,485,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122023,PENDIDIKAN GEOGRAFI,Sarjana,100,271,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122024,PENDIDIKAN JASMANI KESEHATAN DAN REKREASI,Sarjana,211,448,Pendidikan Jasmani dan Olahraga,UNIVERSITAS NEGERI MEDAN
122025,PENDIDIKAN KEPELATIHAN OLAHRAGA,Sarjana,211,280,Pendidikan Jasmani dan Olahraga,UNIVERSITAS NEGERI MEDAN
122026,PENDIDIKAN LUAR SEKOLAH,Sarjana,75,109,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122027,PENDIDIKAN EKONOMI,Sarjana,55,268,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122028,MANAJEMEN,Sarjana,79,1296,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122029,AKUNTANSI,Sarjana,68,953,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122030,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Sarjana,146,924,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122031,PENDIDIKAN BAHASA INGGRIS,Sarjana,148,749,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122032,PENDIDIKAN BAHASA PERANCIS,Sarjana,85,77,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122033,PENDIDIKAN BAHASA JERMAN,Sarjana,85,97,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122034,PENDIDIKAN SENI RUPA,Sarjana,79,83,"Seni Rupa, Desain, dan Kriya",UNIVERSITAS NEGERI MEDAN
122035,SASTRA INDONESIA,Sarjana,79,214,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122036,SASTRA INGGRIS,Sarjana,79,388,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122038,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,265,2523,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122039,PENDIDIKAN TATA BOGA,Sarjana,68,509,Tidak Ada,UNIVERSITAS NEGERI MEDAN
122040,PENDIDIKAN TATA RIAS,Sarjana,79,400,Tidak Ada,UNIVERSITAS NEGERI MEDAN
