ID,NAMA,PEMINAT 2023,Description,for_who,Mata Kuliah,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Teknologi,Bisnis dan Ekonomi,Seni,Sastra dan Linguistik,Pendidikan,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum
57,PERENCANAAN WILAYAH DAN KOTA,3922," Jurusan kuliah tentang perencanaan wilayah dan kota mengajarkan mahasiswa mengenai konsep, teori, dan praktik dalam merencanakan pengembangan wilayah dan kota. Mahasiswa akan belajar tentang perencanaan tata ruang, transportasi, infrastruktur, lingkungan, dan sosial ekonomi dalam konteks pembangunan perkotaan dan pedesaan. Mereka juga akan mempelajari metode analisis spatial, teknologi informasi geografis, kebijakan perencanaan, serta partisipasi masyarakat dalam proses perencanaan. Jurusan ini membekali mahasiswa dengan keterampilan analitis, kreatif, dan berpikir kritis dalam mengatasi tantangan pembangunan wilayah dan kota yang berkelanjutan.","Jurusan Perencanaan Wilayah dan Kota merupakan pilihan yang tepat bagi mereka yang memiliki minat dalam merencanakan dan mengelola perkembangan wilayah dan kota secara berkelanjutan. Para mahasiswa jurusan ini akan mempelajari berbagai aspek seperti tata ruang, transportasi, lingkungan, serta faktor sosial dan ekonomi yang memengaruhi perkembangan suatu wilayah. Mereka akan dilatih untuk dapat merancang pembangunan yang berdampak positif bagi masyarakat serta lingkungan sekitar. Kemampuan analisis, pemecahan masalah, dan kerjasama tim sangat diperlukan dalam bidang ini. Selain itu, jurusan ini juga cocok bagi mereka yang peduli terhadap pembangunan berkelanjutan dan ingin berkontribusi dalam menciptakan lingkungan yang lebih baik untuk generasi mendatang.","1. Teori Perencanaan Kota
2. Metode Penelitian Wilayah
3. Ekonomi Perencanaan
4. Perancangan Kota
5. Kebijakan Perkotaan
6. Pengelolaan Sumberdaya Alam
7. Transportasi Perkotaan
8. Pembangunan Perkotaan
9. Pengantar Perencanaan Wilayah
10. Sosiologi Perkotaan",0.30,0.20,0.20,0.10,0.10,0.10,0.40,0.20,0.30,0.10,0.10,0.70,0.10,0.70,0.20,0.20,0.30
58,FISIKA,3880," FISIKA adalah salah satu jurusan kuliah yang mempelajari fenomena alam melalui abstraksi matematika dan eksperimen. Jurusan ini mencakup berbagai bidang seperti mekanika, termodinamika, optika, fisika nuklir, fisika partikel, dan banyak lagi. Mahasiswa fisika akan mempelajari konsep-konsep dasar seperti hukum-hukum alam dan prinsip-prinsip fundamental seperti hukum-hukum Newton, prinsip kekekalan energi, dan mekanika kuantum. Mereka juga akan belajar tentang aplikasi fisika dalam berbagai bidang, mulai dari teknologi informasi hingga kesehatan. Selain itu, mahasiswa fisika juga akan dilatih untuk berpikir analitis, kritis, dan kreatif dalam memecahkan masalah ilmiah. Dengan latar belakang yang kuat dalam fisika, lulusan jurusan ini dapat bekerja di berbagai industri seperti penelitian, teknologi, energi, kesehatan, dan banyak lagi.","Jurusan Fisika adalah jurusan bagi orang-orang yang menyukai ilmu pengetahuan alam, khususnya dalam bidang fisika. Mereka yang memilih jurusan ini biasanya memiliki minat yang tinggi terhadap sifat-sifat materi, energi, dan interaksi antara keduanya. Mereka tertarik untuk memahami fenomena alamiah yang terjadi di sekitar kita dan ingin mengungkap rahasia di baliknya. Selain itu, orang-orang yang menyukai jurusan Fisika cenderung memiliki kemampuan analisis yang baik, logika yang kuat, dan ketelitian dalam berpikir. Mereka siap untuk belajar lebih dalam tentang hukum-hukum dasar fisika dan menerapkannya dalam berbagai bidang seperti teknologi, keilmuan, dan penelitian.","1. Mekanika
2. Elektromagnetika
3. Termodinamika
4. Optik
5. Fisika Modern
6. Fisika Komputasi
7. Fisika Material
8. Fisika Nuklir
9. Astronomi
10. Biofisika",0.50,0.80,0.90,0.10,0.30,0.20,0.60,0.30,0.20,0.20,0.10,0.20,0.20,0.30,0.10,0.20,0.10
59,ILMU ADMINISTRASI BISNIS,3743,"Jurusan Ilmu Administrasi Bisnis merupakan program studi yang fokus pada pengelolaan dan administrasi dalam dunia bisnis. Mahasiswa jurusan ini akan mempelajari tentang manajemen organisasi, keuangan, pemasaran, sumber daya manusia, dan strategi bisnis. Mereka juga akan dibekali dengan pengetahuan tentang cara mengelola perusahaan secara efisien dan efektif, serta mengatasi berbagai tantangan yang mungkin dihadapi dalam dunia bisnis. Jurusan ini bertujuan untuk melahirkan lulusan yang mampu menjadi pemimpin bisnis yang kompeten dan mampu bersaing di pasar global.","Jurusan Ilmu Administrasi Bisnis adalah jurusan untuk orang yang menyukai bidang manajemen, bisnis, dan administrasi. Mereka yang memilih jurusan ini memiliki minat dalam mengelola bisnis, merencanakan strategi, serta mengoptimalkan sumber daya agar perusahaan mencapai tujuan yang diinginkan. Mereka juga harus memiliki kemampuan analitis, komunikasi yang baik, serta kepemimpinan yang kuat. Mahasiswa jurusan Ilmu Administrasi Bisnis akan mempelajari berbagai ilmu terkait manajemen, ekonomi, pemasaran, keuangan, dan sumber daya manusia. Dengan memahami aspek-aspek tersebut, mereka dapat menjadi profesional yang kompeten dalam menjalankan bisnis dan organisasi dengan efisien dan efektif.","1. Pengantar Administrasi Bisnis
2. Teori Organisasi
3. Manajemen Sumber Daya Manusia
4. Ekonomi Bisnis
5. Manajemen Keuangan
6. Pemasaran
7. Manajemen Operasional
8. Etika Bisnis
9. Hukum Bisnis
10. Manajemen Strategi",0.10,0.30,0.10,0.20,0.10,0.00,0.30,0.80,0.10,0.10,0.10,0.20,0.10,0.20,0.20,0.20,0.30
60,ILMU KELAUTAN,3689,"Ilmu Kelautan adalah sebuah jurusan kuliah yang mempelajari tentang kehidupan dan keseimbangan ekosistem di laut serta semua aktivitas yang terjadi di dalamnya. Mahasiswa Ilmu Kelautan akan belajar tentang berbagai aspek mulai dari biologi, kimia, fisika laut, hingga pengelolaan sumber daya laut. Mereka akan mempelajari tentang berbagai spesies hewan dan tumbuhan laut, proses biologi di dalam laut, polusi laut, dan upaya untuk konservasi lingkungan laut. Jurusan ini juga mencakup riset dan studi mengenai pengaruh perubahan iklim global terhadap laut serta sumber daya alam yang ada di dalamnya. Ilmu Kelautan memiliki peran penting dalam menjaga keberlangsungan dan keberagaman hayati di laut serta memberikan pemahaman yang mendalam tentang ekosistem laut bagi kesejahteraan manusia dan bumi secara keseluruhan.","Jurusan Ilmu Kelautan adalah jurusan untuk orang yang memiliki minat dan ketertarikan dalam mempelajari dan memahami kehidupan laut serta segala aspek yang terkait dengan ekosistem laut. Mereka yang memilih jurusan ini biasanya memiliki rasa ingin tahu yang tinggi tentang keberagaman makhluk hidup di dalam laut, dinamika perairan, dan masalah lingkungan laut. Mereka juga tertarik untuk menggali potensi sumber daya laut dan berkontribusi dalam pelestarian dan keberlanjutan ekosistem laut. Orang-orang yang memilih jurusan Ilmu Kelautan siap menghadapi tantangan dan mempelajari ilmu pengetahuan baru demi menjaga kelestarian laut bagi generasi mendatang.","1. Dasar-dasar Manajemen Sumberdaya Kelautan
2. Oseanografi
3. Pengelolaan Sumberdaya Kelautan
4. Ekologi Laut
5. Perikanan Kelautan
6. Biologi Laut
7. Kimia Kelautan
8. Fisika Kelautan
9. Geologi Kelautan
10. Penginderaan Jauh Kelautan",0.40,0.40,0.20,0.10,0.60,0.10,0.10,0.20,0.10,0.00,0.30,0.60,0.20,0.30,0.10,0.20,0.30
61,PENDIDIKAN BAHASA INDONESIA,3463,"Pendidikan Bahasa Indonesia adalah jurusan kuliah yang mempelajari tentang pengajaran, pembelajaran, dan pengembangan bahasa Indonesia sebagai bahasa ibu dan bahasa kedua. Dalam jurusan ini, mahasiswa akan belajar tentang metode-metode mengajar bahasa Indonesia, pengembangan materi pembelajaran, serta analisis bahasa secara mendalam. Selain itu, mahasiswa juga akan mempelajari konsep-konsep linguistik dan sastra Indonesia untuk dapat mengembangkan kemampuan dalam mengajar dan memahami bahasa Indonesia secara lebih baik. Jurusan ini juga memberikan pemahaman yang luas tentang pentingnya pelestarian dan pengembangan bahasa Indonesia sebagai identitas nasional dan sarana komunikasi yang penting di Indonesia. Dengan demikian, lulusan dari jurusan ini diharapkan dapat menjadi pendidik yang berkualitas dan mampu memberikan kontribusi yang positif dalam dunia pendidikan serta pelestarian bahasa Indonesia.","Jurusan Pendidikan Bahasa Indonesia adalah jurusan untuk orang yang menyukai bahasa Indonesia dan ingin mendalami ilmu mengenai pengajaran, pembelajaran, serta pengembangan bahasa Indonesia. Para mahasiswa jurusan ini memiliki minat yang tinggi dalam bidang sastra, tata bahasa, linguistik, dan pengajaran bahasa. Mereka juga tertarik untuk mempelajari sejarah perkembangan bahasa Indonesia serta aplikasinya dalam dunia pendidikan. Selain itu, mahasiswa jurusan ini juga belajar teknik-teknik pengajaran bahasa yang efektif dan kreatif. Dengan lulus dari jurusan ini, mereka siap untuk menjadi pendidik bahasa Indonesia yang berkualitas dan mampu menginspirasi generasi penerus dalam bidang bahasa.","1. Linguistik Dasar
2. Morfologi
3. Fonologi
4. Pragmatik
5. Komunikasi Antarbudaya
6. Sastra Indonesia
7. Teori Sastra
8. Penulisan Kreatif
9. Bahasa Indonesia untuk Penulisan Ilmiah
10. Terjemahan Dan Interpretasi Teks",0.10,0.10,0.10,0.30,0.10,0.10,0.10,0.10,0.30,0.90,0.40,0.20,0.20,0.10,0.20,0.20,0.10
62,PERPAJAKAN,3417,"Pajak adalah salah satu bidang yang sangat penting dalam dunia bisnis dan keuangan. Jurusan kuliah Pajak akan membahas tentang berbagai aspek perpajakan, mulai dari peraturan perpajakan, kebijakan pajak, hingga teknik perhitungan dan pelaporan pajak. Mahasiswa jurusan Pajak akan mempelajari tentang bagaimana mengelola pajak dengan efisien dan juga memahami peran penting pajak dalam pembangunan ekonomi suatu negara. Mereka juga akan belajar tentang cara-cara untuk menghindari kecurangan perpajakan dan mengoptimalkan manfaat pajak secara legal. Selain itu, mahasiswa jurusan Pajak juga akan memahami bagaimana perpajakan berhubungan dengan bidang-bidang lain seperti akuntansi, hukum, dan keuangan. Dengan demikian, jurusan Pajak akan membekali mahasiswa dengan pengetahuan dan keterampilan yang sangat dibutuhkan dalam dunia bisnis dan keuangan.","Jurusan ini adalah jurusan untuk orang yang menyukai bidang perpajakan. Di dalam jurusan ini, mahasiswa akan belajar mengenai berbagai konsep dan regulasi perpajakan yang berlaku di Indonesia maupun di luar negeri. Mereka juga akan mempelajari teknik-teknik perpajakan, perencanaan pajak, serta analisis perpajakan untuk membantu perusahaan atau individu dalam mengelola pajak dengan efisien dan sesuai dengan peraturan yang berlaku. Selain itu, mahasiswa juga akan mempelajari cara melakukan audit pajak, penyelesaian sengketa pajak, dan strategi untuk mengoptimalkan pajak. Jadi, jurusan ini cocok bagi orang yang tertarik dalam dunia perpajakan dan ingin menjadi ahli di bidang tersebut.","1. Pajak Penghasilan
2. Pajak Pertambahan Nilai
3. Perpajakan Internasional
4. Perpajakan Daerah
5. Etika Bisnis dan Perpajakan
6. Kebijakan Pajak
7. Akuntansi Perpajakan
8. Hukum Perpajakan
9. Teori Perpajakan
10. Pajak Bumi dan Bangunan",0.40,0.10,0.10,0.30,0.10,0.10,0.10,0.70,0.10,0.10,0.90,0.20,0.10,0.10,0.50,0.20,0.80
63,KEBIDANAN,3371,"Kebidanan adalah sebuah jurusan kuliah yang fokus pada ilmu kesehatan reproduksi, baik dari segi fisik maupun psikologis. Mahasiswa yang memilih jurusan kebidanan akan belajar tentang proses kehamilan, persalinan, serta perawatan ibu dan bayi pasca persalinan. Mereka juga akan mempelajari tentang pencegahan, diagnosa, dan penanganan berbagai masalah kesehatan reproduksi wanita.

Selain itu, mahasiswa kebidanan juga akan dibekali dengan pengetahuan tentang etika dan hukum dalam bidang kesehatan reproduksi, serta keterampilan dalam memberikan dukungan emosional dan fisik kepada ibu hamil dan keluarganya. Jurusan kebidanan juga mengajarkan mahasiswa untuk bekerja sama dengan tim medis lainnya, seperti dokter, bidan, dan petugas kesehatan lainnya dalam menyediakan pelayanan kesehatan yang terbaik bagi pasien.

Sebagai lulusan kebidanan, mahasiswa akan siap untuk bekerja sebagai bidan profesional yang memiliki pengetahuan dan keterampilan untuk memberikan perawatan kesehatan reproduksi kepada wanita dan bayi. Mereka juga dapat bekerja di berbagai institusi kesehatan, termasuk rumah sakit, puskesmas, klinik kebidanan, atau bahkan membuka praktik pribadi. Kesempatan kerja bagi lulusan kebidanan cukup luas, mengingat pentingnya peran bidan dalam membantu menurunkan angka kematian ibu dan bayi serta meningkatkan kesehatan reproduksi masyarakat secara umum.","Jurusan kebidanan adalah jurusan yang cocok untuk orang yang memiliki minat dan keinginan yang besar untuk membantu proses kehamilan, kelahiran, dan perawatan ibu dan bayi. Mereka yang memilih jurusan ini biasanya memiliki rasa empati yang tinggi, kesabaran, serta ketelatenan dalam memberikan perawatan dan dukungan kepada ibu hamil, pasangan, serta bayi yang baru lahir. Selain itu, orang yang menyukai jurusan kebidanan juga harus memiliki pengetahuan yang luas tentang kesehatan reproduksi wanita, tata laksana kehamilan, serta kompetensi dalam tindakan kebidanan. Jurusan ini menawarkan kesempatan untuk merawat dan mendukung kehidupan baru yang berharga.","1. Anatomi dan Fisiologi I
2. Kesehatan Reproduksi I
3. Kesehatan Masyarakat
4. Kalkulus
5. Pengantar Ilmu Kesehatan
6. Patologi 
7. Proses Keperawatan I
8. Pengantar Kebidanan
9. Etika Profesi
10. Pendidikan Kesehatan Masyarakat",0.60,0.20,0.20,0.30,0.60,0.10,0.10,0.10,0.10,0.10,0.30,0.30,0.80,0.10,0.20,0.20,0.10
64,PENDIDIKAN GEOGRAFI,3337,"Jurusan pendidikan geografi merupakan program studi yang fokus pada pembelajaran dan pengajaran mengenai ilmu geografi. Mahasiswa yang mengambil jurusan ini akan belajar mengenai berbagai konsep dan teori geografi serta metode pengajaran yang efektif dalam menyampaikan materi geografi kepada siswa. Mereka juga akan mempelajari tentang penggunaan teknologi dalam pembelajaran geografi, pengamatan lapangan, dan analisis data geografis. Lulusan jurusan pendidikan geografi diharapkan dapat menjadi pengajar geografi yang kompeten dan mampu membantu siswa dalam memahami dan menghargai lingkungan serta keragaman budaya di sekitar mereka.","Jurusan ini adalah jurusan untuk orang yang menyukai studi tentang bumi dan segala fenomena alam yang terjadi di dalamnya. Mereka yang memilih jurusan ini biasanya memiliki minat pada geografi, iklim, kependudukan, lingkungan hidup, pemanfaatan sumber daya alam, serta perkembangan sosial dan budaya di berbagai wilayah. Mereka tertarik untuk memahami interaksi antara manusia dan lingkungan serta dampaknya terhadap kehidupan sehari-hari. Melalui mata pelajaran ini, mereka akan belajar tentang berbagai faktor yang mempengaruhi kondisi geografis suatu tempat dan bagaimana hal tersebut memengaruhi kehidupan masyarakat di sekitarnya.","1. Geografi Fisik
2. Geografi Manusia
3. Geografi Regional
4. Geografi Perkotaan
5. Geografi Desa
6. Geografi Pariwisata
7. Geografi Lingkungan
8. Geografi Ekonomi
9. Geografi Sosial
10. Geografi Politik",0.20,0.50,0.10,0.30,0.20,0.10,0.30,0.30,0.20,0.10,0.30,0.70,0.20,0.90,0.20,0.20,0.10
65,PENDIDIKAN TATA BOGA,3214,"Jurusan Pendidikan Tata Boga adalah salah satu jurusan kuliah yang membahas tentang ilmu tata boga atau keahlian dalam merencanakan, mengolah, menghidangkan, dan mengaplikasikan berbagai jenis makanan dan minuman. Mahasiswa jurusan ini akan mempelajari keterampilan memasak, pengetahuan tentang bahan-bahan makanan, teknik penyajian makanan, manajemen restoran, hingga kreativitas dalam menciptakan hidangan.

Selain itu, mahasiswa juga akan mempelajari tentang kesehatan dan gizi dalam pembuatan makanan, kebersihan sanitasi dapur, pengelolaan bisnis kuliner, serta keahlian dalam merancang menu makanan yang seimbang dan menarik. Jurusan ini juga memberikan pelatihan praktis di dapur atau restoran untuk meningkatkan keterampilan mahasiswa dalam memasak dan mengelola sebuah bisnis kuliner.

Dengan demikian, lulusan dari jurusan Pendidikan Tata Boga akan memiliki kompetensi untuk menjadi seorang chef, pengusaha kuliner, manajer restoran, atau konsultan gizi dan kesehatan. Mereka juga dapat bekerja di hotel, restoran, kafe, pusat kesehatan, rumah makan, dan berbagai industri makanan dan minuman lainnya.","Jurusan Pendidikan Tata Boga adalah jurusan untuk orang yang menyukai seni memasak, merancang menu makanan yang sehat dan lezat, serta memiliki minat dalam mengelola dapur dan restoran. Mereka juga harus memiliki kreativitas dalam presentasi makanan serta pengetahuan tentang gizi dan kesehatan. Selain itu, mereka harus memiliki ketelitian dalam mengukur bahan makanan dan memasak dengan tepat. Jurusan ini juga cocok untuk orang yang menikmati eksplorasi berbagai resep dan teknik memasak dari berbagai belahan dunia. Dengan mengikuti jurusan ini, mereka akan mendapatkan pengetahuan dan keterampilan yang dibutuhkan untuk menjadi seorang chef atau ahli tata boga yang sukses.","1. Dasar-Dasar Tata Boga
2. Pengenalan Bahan Makanan
3. Teknik Memasak
4. Hygiene dan Sanitasi Dapur
5. Pangan dan Gizi
6. Manajemen Dapur
7. Perencanaan Menu
8. Food Styling
9. Teknik Presentasi Makanan
10. Kewirausahaan Kuliner",0.10,0.20,0.20,0.30,0.10,0.10,0.10,0.40,0.70,0.10,0.30,0.20,0.10,0.20,0.30,0.10,0.20
66,SASTRA JEPANG,3201," Jurusan Sastra Jepang adalah sebuah program studi yang mempelajari bahasa, sastra, budaya, dan sejarah Jepang secara mendalam. Mahasiswa jurusan Sastra Jepang akan belajar tentang karya sastra Jepang klasik maupun kontemporer, serta mengembangkan kemampuan berbahasa Jepang secara mendalam. Mereka juga akan mempelajari berbagai aspek kebudayaan Jepang seperti seni, musik, dan tradisi, serta memahami konteks sejarah yang mempengaruhi perkembangan sastra Jepang. Jurusan Sastra Jepang membuka peluang karir sebagai penerjemah, pengajar bahasa Jepang, peneliti budaya Jepang, dan berbagai profesi terkait lainnya.","Jurusan Sastra Jepang adalah jurusan yang cocok untuk orang yang menyukai bahasa dan budaya Jepang. Dalam jurusan ini, mahasiswa akan mempelajari berbagai aspek dari sastra Jepang, mulai dari klasik hingga modern. Mereka juga akan belajar tentang sejarah, kehidupan sehari-hari, dan nilai-nilai budaya Jepang. Jurusan ini menuntut kemampuan dalam membaca dan menganalisis teks-teks sastra Jepang, serta kemampuan berkomunikasi dalam bahasa Jepang. Melalui studi di jurusan Sastra Jepang, mahasiswa akan mendapatkan pemahaman yang lebih dalam tentang budaya dan masyarakat Jepang, serta dapat memperluas wawasan dan pengetahuan mereka dalam bidang ini.","1. Bahasa Jepang
2. Sastra Jepang Klasik
3. Sejarah Jepang
4. Budaya Jepang
5. Filsafat Jepang
6. Linguistik Jepang
7. Sastra Asia Timur
8. Media Jepang
9. Seni Tradisional Jepang
10. Teater Jepang",0.10,0.10,0.10,0.20,0.10,0.10,0.10,0.10,0.10,0.90,0.50,0.10,0.10,0.20,0.10,0.40,0.10
67,ILMU PERPUSTAKAAN,3179,"Ilmu Perpustakaan adalah jurusan kuliah yang mempelajari tentang manajemen dan pengelolaan perpustakaan serta informasi yang terkait. Jurusan ini juga membahas tentang teknologi informasi yang digunakan dalam perpustakaan, strategi pelayanan informasi, klasifikasi dan katalogisasi dokumen, serta cara menyusun koleksi informasi yang efektif. Selain itu, mahasiswa jurusan Ilmu Perpustakaan juga akan mempelajari tentang desain ruang perpustakaan, literasi informasi, dan kebijakan pengelolaan koleksi perpustakaan. Secara umum, ilmu perpustakaan adalah bidang studi yang mempersiapkan mahasiswa untuk menjadi profesional yang ahli dalam menyediakan akses informasi yang berkualitas dan relevan bagi masyarakat.","Jurusan Ilmu Perpustakaan adalah jurusan untuk orang yang menyukai literatur, pengetahuan, dan informasi. Mereka yang memilih jurusan ini memiliki minat dalam menyelidiki, mengelola, dan menyebarkan berbagai jenis sumber daya informasi. Mereka juga harus memiliki kemampuan dalam melakukan riset, analisis, dan evaluasi terhadap sumber-sumber informasi. Selain itu, orang yang menyukai jurusan Ilmu Perpustakaan biasanya memiliki ketertarikan dalam teknologi informasi dan komunikasi, serta memiliki keinginan untuk terus belajar dan berkembang dalam bidang ini. Keberagaman pengetahuan dan kesempatan untuk mendukung pengetahuan orang lain adalah hal yang membuat jurusan ini menarik bagi mereka yang mencintai literatur dan informasi.","1. Pengantar Ilmu Perpustakaan
2. Manajemen Perpustakaan
3. Katalogisasi dan Klasifikasi
4. Sistem Informasi Perpustakaan
5. Literasi Informasi
6. Kebijakan Perpustakaan
7. Pemeliharaan Koleksi
8. Kepustakawanan
9. Penelitian Perpustakaan
10. Pengelolaan Arsip",0.20,0.10,0.10,0.60,0.00,0.10,0.20,0.20,0.10,0.60,0.20,0.10,0.10,0.20,0.20,0.20,0.20
68,PENDIDIKAN ADMINISTRASI PERKANTORAN,3140,"Jurusan Pendidikan Administrasi Perkantoran merupakan salah satu jurusan yang mempelajari tentang pengelolaan administrasi perkantoran dan pendidikan. Dalam jurusan ini, mahasiswa akan mempelajari berbagai materi terkait manajemen administrasi, teknologi informasi, komunikasi bisnis, etika bisnis, serta pendidikan. Selain itu, mahasiswa juga akan diajarkan keterampilan praktis dalam menjalankan tugas administratif, pengelolaan data, serta kemampuan komunikasi yang efektif.

Dengan latar belakang pendidikan administrasi perkantoran, lulusan jurusan ini dapat bekerja di berbagai bidang, seperti administrasi perkantoran, manajemen sumber daya manusia, sekretaris, manajer tata usaha, dan berbagai profesi terkait lainnya. Mereka juga memiliki peluang untuk mengembangkan keterampilan bisnis dan berkarir di berbagai perusahaan dan organisasi yang membutuhkan tenaga ahli dalam bidang administrasi perkantoran. Sebagai lulusan jurusan ini, mereka diharapkan mampu menjadi profesional yang kompeten, bertanggung jawab, dan memiliki integritas tinggi dalam menjalankan tugas-tugas administratif.","Jurusan Pendidikan Administrasi Perkantoran adalah jurusan yang cocok untuk orang yang memiliki minat dan bakat dalam bidang administrasi, manajemen, dan perkantoran. Orang yang memilih jurusan ini biasanya memiliki kecenderungan untuk menyukai pekerjaan yang terstruktur, rapi, dan terorganisir dengan baik. Mereka juga biasanya memiliki ketertarikan dalam mengelola berbagai jenis dokumen dan informasi, serta memiliki kemampuan dalam menggunakan teknologi perkantoran. Jurusan ini juga cocok untuk orang yang memiliki keinginan untuk menjadi asisten manajer, sekretaris, atau administrator di berbagai bidang dan industri. Kesimpulannya, jurusan ini cocok untuk orang yang menyukai pekerjaan administratif dan perkantoran yang bersifat terstruktur dan rapi.","1. Prinsip Administrasi
2. Komunikasi Bisnis
3. Etika Profesi Administrasi
4. Teknologi Informasi
5. Manajemen Sumber Daya Manusia
6. Pengantar Akuntansi
7. Bahasa Inggris Bisnis
8. Administrasi Kantor
9. Pengantar Administrasi Publik
10. Perilaku Organisasi",0.20,0.10,0.10,0.20,0.00,0.10,0.30,0.50,0.30,0.10,0.30,0.10,0.10,0.10,0.40,0.10,0.40
69,EKONOMI ISLAM,3066,"Ekonomi Islam adalah studi tentang prinsip dan praktik ekonomi yang sesuai dengan prinsip-prinsip Islam. Jurusan ini membahas konsep ekonomi seperti zakat, sedekah, riba, dan keadilan ekonomi. Mahasiswa yang mengambil jurusan ini akan mempelajari bagaimana prinsip-prinsip Islam dapat diterapkan dalam konteks ekonomi modern, termasuk perbankan syariah, investasi halal, dan pengentasan kemiskinan berdasarkan prinsip-prinsip keadilan sosial dalam Islam. Selain itu, mahasiswa juga akan mendalami konsep-konsep seperti kepemimpinan moral, etika bisnis, dan tanggung jawab sosial dalam konteks ekonomi Islam. Jurusan Ekonomi Islam memberikan pemahaman yang mendalam tentang bagaimana ekonomi dan keuangan dapat dijalankan sesuai dengan nilai-nilai agama Islam.","Jurusan Ekonomi Islam adalah jurusan yang cocok untuk orang yang memiliki minat dan passion dalam bidang keuangan, ekonomi, dan juga agama Islam. Dalam jurusan ini, mahasiswa akan mempelajari prinsip-prinsip ekonomi yang sesuai dengan ajaran agama Islam, seperti sistem keuangan yang berbasis syariah, zakat, dan riba. Selain itu, mahasiswa juga akan mempelajari konsep-konsep ekonomi modern dan kemampuan analisis ekonomi yang diperlukan dalam dunia bisnis. Dengan demikian, jurusan ini adalah pilihan yang tepat bagi mereka yang ingin menggabungkan antara keahlian ekonomi dengan nilai-nilai agama Islam.","1. Ekonomi Islam Mikro
2. Ekonomi Islam Makro
3. Filsafat Ekonomi Islam
4. Dasar-dasar Ekonomi Islam
5. Etika Bisnis Islam
6. Manajemen Keuangan Islam
7. Akuntansi Syariah
8. Perbankan Syariah
9. Hukum Ekonomi Islam
10. Ekonomi Politik Islam",0.10,0.10,0.10,0.30,0.00,0.10,0.10,0.80,0.10,0.10,0.30,0.20,0.10,0.10,0.20,0.40,0.70
70,ILMU EKONOMI,3051,"Ilmu Ekonomi adalah salah satu jurusan kuliah yang mempelajari tentang perilaku ekonomi individu, perusahaan, dan pemerintah dalam mengalokasikan sumber daya yang terbatas untuk memenuhi kebutuhan yang tak terbatas. Jurusan ini memberikan pemahaman yang mendalam tentang teori ekonomi, metode analisis ekonomi, dan kebijakan ekonomi yang berpengaruh terhadap kebijakan ekonomi di tingkat lokal, nasional, maupun global. Para mahasiswa Ilmu Ekonomi akan belajar tentang mikroekonomi, makroekonomi, statistik, ekonomi pembangunan, keuangan, manajemen, perdagangan internasional, dan keuangan internasional. Dengan memahami prinsip-prinsip ekonomi, lulusan Ilmu Ekonomi memiliki kesempatan untuk bekerja di berbagai bidang, seperti perbankan, asuransi, konsultan, pemerintahan, perusahaan swasta, atau menjadi pengusaha. ","Jurusan Ilmu Ekonomi adalah jurusan yang cocok bagi orang yang menyukai analisis, perencanaan, dan pengelolaan berbagai aktivitas ekonomi. Mereka yang memilih jurusan ini biasanya memiliki minat dalam memahami perilaku konsumen, pasar, dan kebijakan ekonomi. Mereka juga memiliki ketertarikan dalam mempelajari sistem ekonomi global serta dampaknya terhadap kehidupan sehari-hari. Selain itu, mereka juga gemar melakukan riset dan analisis mengenai masalah ekonomi yang kompleks. Pemahaman akan ilmu ekonomi juga dapat membantu mereka dalam pengambilan keputusan yang tepat dalam berbagai bidang bisnis, keuangan, pemerintahan, dan organisasi lainnya.","1. Mikroekonomi
2. Makroekonomi
3. Statistika
4. Manajemen Keuangan
5. Pemasaran
6. Akuntansi Keuangan
7. Ekonomi Pembangunan
8. Sistem Informasi Manajemen
9. Perpajakan
10. Ekonomi Internasional",0.60,0.10,0.10,0.20,0.10,0.10,0.30,0.80,0.10,0.10,0.30,0.20,0.20,0.10,0.30,0.20,0.30
