NAMA,PEMINAT 2023,Description,Mata Kuliah,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Teknologi,Bisnis dan Ekonomi,Seni,Sastra dan Linguistik,Pendidikan,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum,highest
SISTEM INFORMASI,22574,"Sistem Informasi adalah jurusan kuliah yang mempelajari tentang penggunaan teknologi informasi dan sistem komputer untuk mengelola, menyimpan, mengakses, dan menganalisis data dalam berbagai organisasi. Jurusan ini juga mempelajari tentang perancangan, pengembangan, implementasi, dan pemeliharaan sistem informasi yang efisien dan efektif. Selain itu, mahasiswa juga akan mempelajari tentang infrastruktur teknologi informasi, keamanan informasi, analisis bisnis, manajemen proyek, dan strategi teknologi informasi. Dengan mengikuti jurusan Sistem Informasi, mahasiswa akan memiliki pengetahuan dan keterampilan yang diperlukan untuk bekerja di berbagai bidang seperti analis sistem, administrator basis data, manajer proyek IT, dan spesialis keamanan informasi.","1. Bahasa Pemrograman
2. Basis Data
3. Sistem Operasi
4. Jaringan Komputer
5. Rekayasa Perangkat Lunak
6. Kecerdasan Buatan
7. Analisis Data
8. Manajemen Proyek TI
9. E-Commerce
10. Keamanan Informasi",0.5,0.3,0.2,0.1,0.1,0.1,0.9,0.5,0.2,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.3,8
TEKNIK INDUSTRI,22118,"Jurusan Teknik Industri merupakan salah satu jurusan yang fokus pada pengembangan sistem dan proses untuk meningkatkan efisiensi dan produktivitas dalam berbagai bidang industri. Mahasiswa jurusan ini akan mempelajari tentang perancangan dan analisis sistem produksi, manajemen operasi, ergonomi, manajemen rantai pasok, serta teknologi informasi yang dapat digunakan untuk meningkatkan kinerja industri. Selain itu, mahasiswa juga akan mempelajari tentang pemodelan dan simulasi sistem, perencanaan produksi, manajemen logistik, dan manajemen kualitas untuk memastikan bahwa produk dan layanan yang dihasilkan sesuai dengan standar yang ditetapkan. Dengan demikian, lulusan dari jurusan Teknik Industri diharapkan dapat menjadi profesional yang mampu mengoptimalkan proses produksi dan meningkatkan efisiensi dalam berbagai bidang industri.","1. Teknologi Industri
2. Manajemen Produksi
3. Kualitas Produk
4. Teknik Pengendalian Proses
5. Ergonomi
6. Rekayasa Manufaktur
7. Pemrosesan Material
8. Manajemen Operasi
9. Rancang Bangun Sistem
10. Manajemen Persediaan",0.7,0.2,0.2,0.1,0.1,0.1,0.2,0.5,0.2,0.1,0.4,0.3,0.2,0.2,0.2,0.2,0.2,1
HUKUM,21640,"HUKUM adalah salah satu jurusan kuliah yang mempelajari tentang hukum dan sistem peradilan. Jurusan ini mengajarkan mahasiswa tentang berbagai aspek hukum, termasuk hukum pidana, hukum sipil, hukum internasional, hukum korporasi, dan banyak lagi. Mahasiswa jurusan hukum akan belajar tentang proses peradilan, pembuatan undang-undang, kontrak, penyelesaian sengketa, dan perlindungan hak asasi manusia. Mereka juga akan belajar tentang etika dan moralitas dalam praktik hukum, serta cara menerapkan keadilan dan kebenaran dalam kasus-kasus hukum. Jurusan hukum mempersiapkan mahasiswa untuk bekerja sebagai advokat, hakim, jaksa, penasihat hukum, atau dalam berbagai profesi hukum lainnya.","1. Hukum Pidana
2. Hukum Perdata
3. Hukum Administrasi Negara
4. Hukum Tata Negara
5. Hukum Agraria
6. Hukum Internasional
7. Hukum Lingkungan
8. Hukum Bisnis
9. Hukum Keluarga
10. Hukum Kepailitan",0.1,0.1,0.1,0.4,0.0,0.0,0.1,0.6,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.9,12
TEKNIK MESIN,20157,"TEKNIK MESIN adalah sebuah jurusan kuliah yang mempelajari tentang berbagai teknologi dan teknik yang digunakan dalam proses perancangan, produksi, dan pemeliharaan mesin dan sistem mekanik. Mahasiswa jurusan ini akan belajar tentang prinsip-prinsip dasar mekanika, termodinamika, desain mesin, kontrol dan otomasi, material teknik, dan teknik manufaktur. Mereka juga akan mendapatkan pengetahuan dan keterampilan dalam mengoperasikan peralatan teknik, serta pemecahan masalah dalam bidang teknik mesin. Dengan demikian, lulusan jurusan TEKNIK MESIN akan memiliki kompetensi untuk bekerja di berbagai industri manufaktur, otomotif, perminyakan, dan lain sebagainya.","1. Teknik Fluida
2. Material Teknik
3. Pembentukan Logam
4. Teknik Pemeliharaan
5. Teknik Las
6. Metode Penelitian Teknik
7. Teknik Kontrol
8. Ergonomi Teknik
9. Dinamika Teknik
10. Manajemen Proyek Teknik",0.5,0.4,0.9,0.1,0.1,0.1,0.1,0.3,0.3,0.0,0.1,0.1,0.2,0.2,0.1,0.1,0.2,3
INFORMATIKA,18918,"Jurusan Teknik Informatika adalah salah satu jurusan di perguruan tinggi yang mempelajari tentang pengembangan dan penerapan teknologi informasi dan komunikasi dalam berbagai bidang. Jurusan ini memberikan pembelajaran mengenai pemrograman, jaringan komputer, basis data, keamanan informasi, serta sistem informasi. Para mahasiswa jurusan Teknik Informatika akan dilatih untuk mengembangkan solusi teknologi informasi yang inovatif dan efisien, serta mampu mengelola sistem informasi dengan baik. Selain itu, mereka juga akan diajarkan untuk menguasai berbagai metode dan teknologi terkini dalam industri teknologi informasi. Dengan demikian, lulusan jurusan Teknik Informatika diharapkan mampu menjadi tenaga ahli yang handal dalam menghadapi tantangan di era digital ini.","1. Pemrograman Dasar
2. Struktur Data
3. Algoritma dan Pemrograman
4. Sistem Operasi
5. Jaringan Komputer
6. Basis Data
7. Pemrograman Web
8. Perancangan Sistem Informasi
9. Kecerdasan Buatan
10. Keamanan Informasi",0.8,0.3,0.2,0.1,0.1,0.1,0.9,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,8
GIZI,18803,"Ilmu Gizi adalah salah satu jurusan kuliah yang mempelajari tentang ilmu nutrisi dan kesehatan makanan. Mahasiswa yang mengambil jurusan ini akan mempelajari tentang kandungan nutrisi dalam makanan, metabolisme tubuh manusia, serta faktor-faktor yang mempengaruhi pola makan dan kesehatan. Mereka juga akan mempelajari tentang cara mengatur diet dan nutrisi yang tepat untuk memenuhi kebutuhan tubuh manusia agar tetap sehat dan berenergi. Selain itu, mahasiswa Ilmu Gizi juga akan belajar mengenai penelitian gizi dan aplikasinya dalam bidang kesehatan masyarakat. Dengan demikian, mahasiswa Ilmu Gizi diharapkan dapat menjadi ahli gizi yang mampu memberikan edukasi dan konsultasi nutrisi yang tepat bagi masyarakat dalam upaya meningkatkan kesehatan dan kualitas hidup.","1. Gizi dan Kesehatan
2. Mikrobiologi Pangan
3. Metabolisme
4. Kimia Makanan
5. Ilmu Nutrisi
6. Biokimia
7. Statistik Gizi
8. Dietetika
9. Kesehatan Masyarakat
10. Pangan Fungsional",0.3,0.3,0.1,0.1,0.7,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.8,0.1,0.2,0.1,0.1,14
KEPERAWATAN,16727,"Jurusan keperawatan adalah salah satu program studi yang mempelajari tentang pengelolaan dan pelayanan kesehatan kepada pasien yang membutuhkan perawatan medis. Mahasiswa jurusan keperawatan akan mempelajari tentang anatomi dan fisiologi tubuh manusia, diagnosis penyakit, prosedur medis, manajemen pasien, serta etika dan hukum dalam praktek keperawatan. Mereka juga akan dilatih untuk memberikan perawatan yang komprehensif dan bertanggung jawab kepada pasien, baik di rumah sakit, puskesmas, maupun dalam masyarakat. Jurusan keperawatan merupakan salah satu pilihan yang cocok bagi mereka yang memiliki kepedulian terhadap kesehatan masyarakat dan memiliki kemampuan untuk bekerja secara tim dalam lingkungan yang dinamis.","1. Anatomi dan Fisiologi
2. Keperawatan Medikal Bedah
3. Keperawatan Anak
4. Keperawatan Jiwa
5. Keperawatan Maternitas
6. Keperawatan Gerontik
7. Keperawatan Komunitas
8. Etika Keperawatan
9. Kasus Kesehatan Reproduksi
10. Keperawatan Gawat Darurat",0.2,0.3,0.2,0.3,0.4,0.1,0.1,0.1,0.2,0.0,0.3,0.2,0.8,0.1,0.1,0.1,0.1,14
AGRIBISNIS,16590,"Jurusan Agribisnis adalah salah satu jurusan yang membahas tentang manajemen bisnis di bidang pertanian, peternakan, dan perkebunan. Mahasiswa jurusan ini akan mempelajari teknik-teknik manajemen yang dapat diterapkan dalam industri agribisnis serta memahami seluk beluk pasar pertanian dan perkebunan. Mereka juga akan mempelajari tentang inovasi teknologi pertanian, pengembangan produk pertanian, dan strategi pemasaran yang dapat meningkatkan produktivitas dan profitabilitas dalam sektor agribisnis. Jurusan Agribisnis memberikan pemahaman yang mendalam tentang hubungan antara manusia, lingkungan, dan sumber daya alam dalam konteks pertanian modern. Dengan demikian, lulusan jurusan Agribisnis dapat menjadi pengusaha sukses di sektor pertanian serta berperan dalam mengembangkan potensi agraris di Indonesia.","1. Agribisnis Perdesaan
2. Pemasaran Agribisnis
3. Manajemen Agribisnis
4. Keuangan Agribisnis
5. Kewirausahaan Agribisnis
6. Sistem Informasi Agribisnis
7. Kesehatan Hewan
8. Nutrisi Ternak
9. Politik Pertanian
10. Agroekoteknologi",0.3,0.5,0.2,0.2,0.3,0.0,0.3,0.8,0.1,0.0,0.2,0.4,0.1,0.2,0.2,0.1,0.1,7
TEKNIK ELEKTRO,16520," jurusan Teknik Elektro adalah salah satu jurusan yang memberikan pemahaman mendalam tentang bidang rekayasa elektronik, listrik, dan komputer. Mahasiswa akan belajar tentang prinsip dasar elektronika, sistem kontrol, komunikasi data, dan masih banyak lagi. Mereka juga akan mempelajari cara mendesain dan mengembangkan sistem elektronik, mulai dari perangkat keras hingga perangkat lunak. Jurusan ini juga memberikan pemahaman tentang penggunaan teknologi terbaru dalam bidang elektronik dan komputasi. Selain itu, mahasiswa Teknik Elektro akan dilatih untuk memiliki keterampilan analisis yang tajam, pemecahan masalah, dan kreativitas dalam menemukan solusi dalam bidang teknologi elektronik. Dengan demikian, lulusan jurusan ini memiliki peluang karir yang luas di bidang industri, telekomunikasi, otomotif, listrik, dan banyak bidang lainnya yang membutuhkan keahlian dalam teknologi elektronik.","1. Elektronika Dasar
2. Sistem Kendali
3. Instrumentasi
4. Komunikasi Data dan Jaringan Komputer
5. Robotika
6. Elektronika Daya
7. Sistem Tenaga Listrik
8. Teknik Kontrol
9. Komputer Mikro
10. Pemodelan Sistem Elektromekanik",0.7,0.3,0.7,0.1,0.1,0.1,0.5,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.3,0.1,0.2,1
PENDIDIKAN GURU SEKOLAH DASAR,16193," Pendidikan Guru Sekolah Dasar adalah jurusan kuliah yang mempersiapkan mahasiswa untuk menjadi seorang guru di tingkat sekolah dasar. Selama kuliah, mahasiswa akan mempelajari berbagai mata pelajaran yang berkaitan dengan pendidikan, psikologi perkembangan anak, metode pengajaran, evaluasi pembelajaran, serta etika profesionalisme dalam mengajar.

Mahasiswa juga akan diajarkan bagaimana mengelola kelas, berkomunikasi dengan siswa, orangtua, dan kolega guru, serta bagaimana mengembangkan kurikulum yang sesuai dengan kebutuhan serta perkembangan anak usia sekolah dasar. Selain itu, mahasiswa juga akan dilatih untuk meningkatkan kemampuan kreativitas, kemampuan berpikir kritis, dan kemampuan interpersonal dalam proses pembelajaran.

Setelah lulus dari jurusan ini, lulusan akan siap untuk menjadi seorang guru profesional yang mampu memberikan pendidikan yang berkualitas bagi anak-anak di tingkat sekolah dasar. Mereka akan memiliki pengetahuan dan keterampilan yang dibutuhkan untuk menciptakan lingkungan belajar yang kondusif, memotivasi siswa untuk belajar, serta membantu mereka mencapai potensi terbaik mereka dalam proses pendidikan.","1. Pendidikan Bahasa Indonesia
2. Pendidikan Matematika
3. Pendidikan IPA
4. Pendidikan Agama
5. Pendidikan Kewarganegaraan
6. Pendidikan Seni
7. Pendidikan Jasmani
8. Psikologi Pendidikan
9. Kependidikan Guru
10. Metode Pembelajaran",0.2,0.2,0.1,0.4,0.1,0.1,0.2,0.1,0.4,0.3,0.9,0.2,0.1,0.2,0.4,0.4,0.1,11
KESEHATAN MASYARAKAT,16184,"Kesehatan Masyarakat adalah salah satu jurusan kuliah yang mempelajari tentang upaya untuk meningkatkan kesehatan dan kesejahteraan masyarakat secara keseluruhan. Jurusan ini menggabungkan ilmu kesehatan, ilmu sosial, dan ilmu analisis kebijakan untuk memahami faktor-faktor yang memengaruhi kesehatan masyarakat serta merancang dan melaksanakan intervensi yang efektif untuk meningkatkan kondisi kesehatan masyarakat.

Para mahasiswa jurusan Kesehatan Masyarakat akan belajar tentang epidemiologi, bio-statistik, kesehatan lingkungan, promosi kesehatan, manajemen kesehatan publik, dan kebijakan kesehatan. Mereka juga akan belajar cara melakukan penelitian, mengumpulkan dan menganalisis data, serta merancang program-program kesehatan yang berkelanjutan dan berdampak positif bagi masyarakat.

Setelah lulus, lulusan jurusan Kesehatan Masyarakat memiliki berbagai peluang karir di bidang kesehatan publik, non-profit, pemerintahan, rumah sakit, organisasi internasional, dan sektor swasta. Mereka dapat bekerja sebagai epidemiolog, manajer program kesehatan, analis kebijakan kesehatan, peneliti kesehatan masyarakat, dll. Jurusan ini memberikan landasan yang kuat untuk berkontribusi dalam meningkatkan kesehatan dan kesejahteraan masyarakat secara luas.","1. Kesehatan Masyarakat
2. Epidemiologi
3. Statistik Kesehatan
4. Kesehatan Lingkungan
5. Kesehatan Reproduksi
6. Promosi Kesehatan
7. Sosiologi Kesehatan
8. Kebijakan Kesehatan
9. Penyuluhan Kesehatan
10. Gizi Masyarakat",0.3,0.3,0.1,0.6,0.5,0.1,0.1,0.2,0.1,0.1,0.1,0.4,0.8,0.1,0.3,0.1,0.1,14
EKONOMI PEMBANGUNAN,14902,"Ekonomi Pembangunan adalah jurusan kuliah yang mempelajari tentang bagaimana perekonomian suatu negara dapat berkembang dan meningkatkan kesejahteraan masyarakat melalui kebijakan-kebijakan ekonomi yang tepat. Jurusan ini mencakup berbagai topik seperti pembangunan ekonomi, keuangan publik, investasi, perdagangan internasional, serta ekonomi sumber daya alam. Para mahasiswa jurusan ini akan belajar tentang teori ekonomi, analisis data, serta kebijakan-kebijakan yang dapat mempengaruhi pertumbuhan ekonomi suatu negara. Dengan memahami prinsip-prinsip ekonomi pembangunan, lulusan jurusan ini diharapkan dapat menjadi ahli yang mampu mengatasi tantangan pembangunan ekonomi dan memberikan kontribusi positif bagi kemajuan negara.","1. Teori Ekonomi Pembangunan
2. Kebijakan Pembangunan Ekonomi
3. Statistik Ekonomi Pembangunan
4. Kajian Pembangunan Daerah
5. Koperasi dan Pembangunan
6. Teori Pertumbuhan Ekonomi
7. Ekonomi Sumber Daya Alam
8. Ekonomi Internasional
9. Ekonomi Regional
10. Analisis Kebijakan Pembangunan",0.3,0.2,0.1,0.4,0.1,0.0,0.3,0.8,0.1,0.1,0.2,0.3,0.1,0.2,0.2,0.1,0.2,7
